Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h)
1/03/2021,11.6,24.5,0,6.4,6.3,SW,54
2/03/2021,10.1,17.2,0,6.2,1.4,S,44
3/03/2021,12.8,17.4,0,4.4,2.1,SSW,33
4/03/2021,9.5,21.8,0,4,2.6,SW,46
5/03/2021,12.3,18.6,0.4,4.4,3.6,SSW,46
6/03/2021,13.3,21.3,0,5.6,10,S,35
7/03/2021,10,29.8,0,6,7.9,NNW,54
8/03/2021,13.1,18.7,0.4,6,0,SSW,31
9/03/2021,12.3,20.6,4.6,0.2,6.9,S,37
10/03/2021,13,22.3,0.2,6.8,7.2,S,35
11/03/2021,10.7,27,0,5,4.6,NE,37
12/03/2021,13,31,0,4,10.1,NNE,33
13/03/2021,17.4,27.8,0,9.6,0.3,NNE,59
14/03/2021,7.8,18.1,10.6,7.4,10,SSE,43
15/03/2021,7.4,21.1,0.2,2.4,5.2,WSW,31
16/03/2021,13.5,22.6,0.4,2.2,8,S,30
17/03/2021,10.8,27.5,0.2,2.8,9.9,SSE,33
18/03/2021,10.8,26.2,0,5.8,5.1,S,31
19/03/2021,12.3,27,0,5.2,6.1,SE,35
20/03/2021,12,24.7,0,5.4,5.3,ESE,31
21/03/2021,15.5,19.8,3,3,0,WSW,20
22/03/2021,16.4,24.5,5,2.6,1.8,NNE,44
23/03/2021,17.3,21.7,15.6,0.6,0.6,SSW,37
24/03/2021,15.7,21.9,0.2,2.2,1.7,S,33
25/03/2021,14.2,19.9,3.8,2.8,3.1,SW,52
26/03/2021,9.2,21.2,0,2.8,6.5,N,35
27/03/2021,13,21.5,1,3.8,4.1,WSW,44
28/03/2021,9.1,19.5,0.2,4.4,3.9,SW,35
29/03/2021,11.3,18.9,0.4,2.8,8,SSE,44
30/03/2021,7,19.9,0.2,3.6,10.2,S,33
31/03/2021,11,23.9,0,3.2,8.9,S,22
